"EVENTO","AREA/ZONA","CENTRO DE COSTO","ITEM","DESCRIPCION","NOTAS/OBSERVACIONES","IN-KIND?","AURORA 360?","QTY","UoM","CONTRATACION POR DIAS?","QTY DIAS","PRECIO UNITARIO","SUBTOTAL","VIA PRODUCTORA (AURORA 360)?","FEE INCL. EN COTIZACION?","FEE 20%","SUBTOTAL CON FEE","IVA","TOTAL","COTIZACION","IMAGEN DE REFERENCIA","PROVEEDOR","VALIDAR COSTO?","CONTRATAR APARTE?","COTIZACION LINK","EXENTO IVA?"
"MAIN EVENT","LICENCIAS","STREAMING","SWOOGO (2 LICENSES, 1 EACH TYPE) - ANNUAL","","","NO","NO","1","UNIDAD","NO","1","11800","11800","NO","NO","0","11800","0","11800","SWOOGO LICENSE","","SWOOGO","NO","NO","https://drive.google.com/file/d/1oGNufpB9AGAOJDewaZys_SLNn-vXwBQn/view?usp=sharing","SI"
"MAIN EVENT","LICENCIAS","STREAMING","VIMEO LICENSE BUDGET - MENSUAL","","","NO","NO","1","UNIDAD","NO","4","75","75","NO","NO","0","75","0","75","VIMEO SUBSCRIPTION","","VIMEO","NO","NO","https://vimeo.com/upgrade-plan?paywall_trigger=marketing_pricing_link&paywall_location=top_navigation&paywall_feature=general","SI"
"MAIN EVENT","PLAN DE SEGURIDAD, PREVENCIÓN Y RESPUESTA A EMERGENCIAS","AMBULANCIA","CRUZ ROJA","","CONSIDERAR ALIMENTACION VIA CAFETERIA DE LA ESEN","NO","SI","1","SERVICIO","NO","2","100","100","SI","NO","20","120","15.600000000000001","135.6","","","","SI","SI","","NO"
"MAIN EVENT","TICKETING","TICKETING","FUN CAPITAL TICKETING SERVICES 10% OVER TICKET PRICE","","10% DE LAS VENTAS, TRANSFERIBLE AL ASISTENTE","NO","NO","1","SERVICIO","NO","1","0","0","NO","NO","0","0","0","0","PROPUESTA DE VALOR FUN CAPITAL CAMILA.pdf","","FUN CAPITAL","NO","NO","https://drive.google.com/file/d/1qEZF5SMpdzAlxZ6Ounf4x2wmZWhtWROd/view?usp=sharing","NO"
"MAIN EVENT VIP DINNER","HOSPITALITY","ALIMENTACION","CENA/MARIDAJE EN MONARCA CON SOMMERLIER MARGARITA MACHON","CENA VIP","","NO","NO","30","PERSONA","NO","1","100","3000","NO","NO","0","3000","390","3390","Menu Maridaje Camila Cruz.docx","","MONARCA","NO","NO","https://docs.google.com/document/d/10qXivqSEV8cvEK5l5ptoY1Sja2o7KZW5/edit?usp=sharing&ouid=110506789414376848531&rtpof=true&sd=true","NO"
"MAIN EVENT","FOTOGRAFIA Y VIDEO","FOTOGRAFIA Y VIDEO","BUDGET FOTOGRAFO Y VIDEOGRAFO MAIN EVENT ($8K)","SE CONTEMPLA UNICAMENTE A NIVEL BUDGET. PERFILES RECOMENDADOS A CONTACTAR - IN PROGRESS.","","NO","NO","1","SERVICIO","NO","1","8000","8000","NO","NO","0","8000","1040","9040","","","","SI","NO","","NO"
"MAIN EVENT","PR","PR BUDGET","BUDGET PARA AGENCIA DE PR ($5K)","SE CONTEMPLA UNICAMENTE A NIVEL BUDGET. STAKEHOLDERS RECOMENDADOS A CONTACTAR - IN PROGRESS.","","NO","NO","1","SERVICIO","NO","1","5000","5000","NO","NO","0","5000","650","5650","","","","SI","NO","","NO"
"MAIN EVENT","MARKETING & COMMUNICATIONS","MARKETING & COMMUNICATIONS BUDGET","BUDGET PARA PAUTA ($3K)","SE CONTEMPLA UNICAMENTE A NIVEL BUDGET. STAKEHOLDERS RECOMENDADOS A CONTACTAR - IN PROGRESS.","","NO","NO","1","SERVICIO","NO","1","3000","3000","NO","NO","0","3000","390","3390","","","","SI","NO","","NO"
"BEFORE/AFTER MAIN EVENT","HOSPITALITY","ALIMENTACION","BUDGET DE VIATICOS ALIMENTARIOS PARA SPEAKERS INTERNACIONALES Y COMITE ORGANIZADOR [TIEMPOS DE COMIDA FUERA DE AGENDA EVENTO ($6K)","SE CONTEMPLA UNICAMENTE A NIVEL BUDGET. PROOVEDORES RECOMENDADOS A CONTACTAR - IN PROGRESS.","","NO","NO","30","PERSONA","NO","1","200","6000","NO","NO","0","6000","780","6780","","","TBD","SI","NO","","NO"
"BEFORE/AFTER MAIN EVENT","MOBILITY","AERIAL TRANSPORTATION","VUELOS PARA PONENTES INTERNANCIONALES Y EQUIPO ORGANIZADORES","BLOQUE DE VUELOS NEGOCIADOS CON AVIANCA — IVA E IMPUESTOS YA INCLUIDOS","Costo ya incluye IVA e impuestos aereos. No aplica IVA adicional.","SI","NO","1","PAQUETE","NO","1","56980.03","56980.03","NO","NO","0","56980.03","7407.4039","64387.433899999996","AVIANCA COTIZACION.pdf","","AVIANCA","NO","NO","https://drive.google.com/file/d/1wGBILePinDAf0Vp15p_6888IdgxfOxKI/view?usp=sharing","NO"
