"EVENTO","AREA/ZONA","CENTRO DE COSTO","ITEM","DESCRIPCION","NOTAS/OBSERVACIONES","IN-KIND?","AURORA 360?","QTY","UoM","CONTRATACION POR DIAS?","QTY DIAS","PRECIO UNITARIO","SUBTOTAL","VIA PRODUCTORA (AURORA 360)?","FEE INCL. EN COTIZACION?","FEE 20%","SUBTOTAL CON FEE","IVA","TOTAL","COTIZACION","IMAGEN DE REFERENCIA","PROVEEDOR","VALIDAR COSTO?","CONTRATAR APARTE?","COTIZACION LINK","EXENTO IVA?"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","MOBILIARIO","MESA ESEN PARA REGISTRO","SE UTILIZARAN LAS MESAS DE ESEN (TIPO ESCRITORIO0","","SI","NO","4","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","MOBILIARIO","MESA ESEN (1.80 X 0.85 M) PARA REGISTRO ESPECIAL (VIPs/Press/Restricciones Alimentarias)","SE UTILIZARAN LAS MESAS DE ESEN (TIPO ESCRITORIO0","","SI","NO","1","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","MOBILIARIO","MESA ESEN (1.80 X 0.85 M) PARA IMPRESION DE BADGES","SE UTILIZARAN LAS MESAS DE ESEN (TIPO ESCRITORIO0","","SI","NO","1","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","ELECTRONICOS","COMPUTADORAS LAPTOP PARA VOLUNTARIOS DE REGISTRO (BYOD POLICY)","","BRING YOUR OWN DEVICE POLICY","SI","NO","12","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","","NO","NO","","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","VOLUNTARIOS","QUEUE MANAGERS DE REGISTRO","","","SI","NO","4","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","VOLUNTARIOS","SOPORTE DE REGISTRO Y CHECK IN/ENTREGA DE ATTENDEE GOODIE BAG","","","SI","NO","12","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","AMENITIES","LIBRETA Y LAPICERO PROMOCIONAL MAS IMPRESION [ATTENDEE GOODIE BAG]","","","NO","NO","500","UNIDAD","NO","1","2.32","1160","NO","NO","0","1160","150.8","1310.8","","","","NO","NO","","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","AMENITIES","BOLSA TRIFOLD NEGRA PROMOCIONAL MAS IMPRESION  [ATTENDEE GOODIE BAG]","","","NO","NO","500","UNIDAD","NO","1","1.87","935","NO","NO","0","935","121.55","1056.55","","","","NO","NO","","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","BADGES & LANDYARD","BADGES Y LANDYARDS PARA SPEAKERS (24), ORGANIZADORES/ORGANIZING STAFF (10), VOLUNTARIOS (30), ATTENDEES (485)","","","NO","NO","550","UNIDAD","NO","1","3.39","1864.5","NO","NO","0","1864.5","242.38500000000002","2106.885","THE RACK [IMPRESION DE PROMOCIONALES)","","THE RACK + PUBLIEXPORT","NO","NO","https://drive.google.com/file/d/1l6btI2t4UHtCc0mFDlSRr6O0SUeeXZvg/view?usp=sharing","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","IMPRESOS","TICKETS REDENCION LUNCH EN PAPEL FOLCOTE 5X5CMS","TICKETS A UTILIZAR PARA EFECTOS DE LOGISTICA DE ENTREGA DE LUNCHBOXES.","COTIZAR CON IMPRENTA","NO","SI","1000","UNIDAD","NO","1","0.06","60","SI","NO","12","72","9.36","81.36","A3","","TINTA Y SOPORTE DIGITAL","NO","NO","https://drive.google.com/file/d/1mw_3fyW1rHC0RUgnUPPnvzgi98OOeFOY/view","NO"
"MAIN EVENT","LOBBY","PRODUCCIÓN Y MONTAJE","TOTEM DIGITAL PARA AGENDA Y LOOPS","","escribir a flor o proveedor q corrija coti para que nos den esto de cortesia como plantea el proovedor","NO","SI","1","UNIDAD","NO","1","233.49","233.49","SI","SI","0","233.49","30.353700000000003","263.8437","A1","","SMART MEDIA","SI","SI","https://drive.google.com/file/d/1IfkHgp31LiPIpc_ICz59wYRA9ak0N2j0/view","NO"
"MAIN EVENT","LOBBY","PRODUCCIÓN Y MONTAJE","BACKING PARA FOTOGRAFIAS EN LOBBY CON PERFILERIA Y LONA TENSADA MATE FULL COLOR 4X3 METROS","","esto vario en 3er scouting","NO","SI","1","UNIDAD","NO","1","400","400","SI","SI","0","400","52","452","A2 - AURORA 360","","AURORA 360","SI","SI","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
"MAIN EVENT","LOBBY","BOOTHS/STANDS","C2 LABS","","","NO","SI","1","UNIDAD","NO","1","600","600","SI","SI","0","600","78","678","A2 - AURORA 360","","AURORA 360","SI","SI","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
"MAIN EVENT","LOBBY","BOOTHS/STANDS","OPINNO","","","NO","SI","1","SERVICIO","NO","1","600","600","SI","SI","0","600","78","678","A2 - AURORA 360","","AURORA 360","SI","SI","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
"MAIN EVENT","LOBBY","ELECTRICO","ACCESOS A TOMA 220 EN BOOTHS Y 1 TOMA 110 PARA AREA DE REGISTRO","","","NO","SI","1","SERVICIO","NO","1","333.33","333.33","SI","NO","66.666","399.996","51.99948","451.99548","","","","NO","NO","","NO"
"MAIN EVENT","LOBBY","INTERNET","RED DE INTERNET PARA FALLBACK DE ASISTENTES (ESEN 500 MB)","","","SI","NO","1","UNIDAD","NO","1","0","0","NO","NO","0","0","0","0","","","","NO","NO","","NO"
"MAIN EVENT","BACKSTAGE","MOBILIARIO","MESA ESEN (1.80 X 0.85 CM) PARA BACKSTAGE","SE UTILIZARAN LAS MESAS DE ESEN (TIPO ESCRITORIO0","","SI","NO","3","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","BACKSTAGE","MANTELERIA","MANTEL PARA MESA (6 ft) PARA BACKSTAGE","","MANTELERIA SE MANDARA HACER PARA OBVIAR COSTOS ALTOS DE ALQUILER DE MANTELES.","NO","SI","3","UNIDAD","SI","2","3","18","SI","NO","3.6","21.6","2.8080000000000003","24.408","A4","","ALQUILERES EXPRESS","NO","NO","https://drive.google.com/file/d/1naOQex6vwh7_3M5kqpQdA6KqNa_5QJeJ/view","NO"
"MAIN EVENT","BACKSTAGE","MOBILIARIO","SILLAS PARA TECNICOS ESEN (PLASTICA NEGRA)","SILLAS PLASTICAS NEGRAS ESEN.","","SI","NO","4","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","BACKSTAGE","PRODUCCIÓN Y MONTAJE","DIVISION DE PERFILERIA CON PVC BLANCO CON PUERTA 5 X 2.40 M PARA BACKSTAGE CON LONA FULL COLOR","","","NO","SI","1","UNIDAD","NO","1","200","200","SI","SI","0","200","26","226","A2 - AURORA 360","","AURORA 360","NO","NO","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
"MAIN EVENT","BACKSTAGE","VOLUNTARIOS","SPEAKER MANAGERS","","","SI","NO","2","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","ESCENOGRAFIA - TARIMA 14.64 X 3.66 X 0.30 CON CHAROL NEGRO Y GRADAS LATERAL DERECHO (POV HACIA PUBLICO)","","","NO","SI","1","UNIDAD","SI","2","870","1740","SI","NO","348","2088","271.44","2359.44","A6 ON TIME SOLUTIONS CAMILA CRUZ.pdf","","ON TIME SOLUTIONS","NO","NO","https://drive.google.com/file/d/1Wx49rd5OpxtK-tTj72mIuFJnPGoBG8Qj/view?usp=sharing","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","ESCENOGRAFIA - LUZ LED PARA ORILLA DE TARIMA","","","NO","SI","1","UNIDAD","NO","1","300","300","SI","NO","60","360","46.800000000000004","406.8","A6 ON TIME SOLUTIONS CAMILA CRUZ.pdf","","ON TIME SOLUTIONS","NO","NO","https://drive.google.com/file/d/1Wx49rd5OpxtK-tTj72mIuFJnPGoBG8Qj/view?usp=sharing","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","ILUMINACIÓN","ESCENOGRAFIA - BARRAS DE LUZ PARA BAÑAR FONDO/PARED PRINCIPAL AUDITORIO","","","NO","SI","8","UNIDAD","SI","2","30","480","SI","NO","96","576","74.88","650.88","A6 ON TIME SOLUTIONS CAMILA CRUZ.pdf","","ON TIME SOLUTIONS","NO","NO","https://drive.google.com/file/d/1Wx49rd5OpxtK-tTj72mIuFJnPGoBG8Qj/view?usp=sharing","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","ESCENOGRAFIA - LOGO EMTECH DIGITAL LATAM PARA ESCENARIO SIN ILUMINACIÓN","","","NO","SI","1","UNIDAD","NO","1","750","750","SI","NO","150","900","117","1017","A9","","AVANCE PUBLICITARIO / ALTERNATIVA DIGITAL","SI","SI","https://drive.google.com/file/d/1zOOgrJxnEgT4ry2aV1N5elO58UNY2yO2/view?usp=drive_link","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","MOBILIARIO ESCENOGRAFICO - SOFA INDIVIDUAL EJECUTIVO NEGRO DE ESEN","","","SI","NO","2","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","MOBILIARIO ESCENOGRAFICO - SILLAS PARA PONENTES","","","NO","NO","7","UNIDAD","NO","1","30","210","NO","NO","0","210","27.3","237.3","PENDING","","","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","MOBILIARIO ESCENOGRAFICO - CUBO ACRILICO PARA MESA LATERAL DE 45X45 CM","","","NO","SI","3","UNIDAD","SI","2","25","150","SI","NO","30","180","23.400000000000002","203.4","A7","","AIRSTAR","SI","SI","https://drive.google.com/file/d/1TB1cjYWRBrdk_frKAkq-bBvzCTXXVk93/view?usp=drive_link","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","MOBILIARIO ESCENOGRAFICO - CUBO ACRILICO PARA MESA LATERAL DE 20X20 CM","","","NO","SI","1","UNIDAD","SI","2","15","30","SI","NO","6","36","4.68","40.68","A7","","AIRSTAR","SI","SI","https://drive.google.com/file/d/1TB1cjYWRBrdk_frKAkq-bBvzCTXXVk93/view?usp=drive_link","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","MOBILIARIO ESCENOGRAFICO - PODIO DE ESEN","","","SI","NO","1","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","MOBILIARIO ESCENOGRAFICO - MAGNETO CON BRANDING FULL COLOR PARA PODIO DE ESEN (DIMENSIONES TBD)","","","NO","SI","1","UNIDAD","NO","1","6.64","6.64","SI","NO","1.328","7.968","1.03584","9.00384","PENDING","","","NO","SI","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","MOBILIARIO","SILLAS COORDINACIÓN STAGE-SIDE ESEN","SILLAS PLASTICAS NEGRAS ESEN.","","SI","NO","5","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","MOBILIARIO","SILLAS EXTRA ASISTENTES ESEN","SILLAS PLASTICAS NEGRAS ESEN.","","SI","NO","154","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","MOBILIARIO","BUTACAS FIJAS ESEN","","","SI","NO","168","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","DIVISION DE PERFILERIA PARA 2 CAMARAS A LOS LATERALES (DIMENSIONES TBD)","","","NO","SI","2","PAQUETE","SI","2","60","240","SI","SI","0","240","31.200000000000003","271.2","A2 - AURORA 360","","AURORA 360","NO","NO","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCIÓN Y MONTAJE","TARIMA PARA 2 CAMARAS A LOS LATERALES (1.20X1.20X0.50m)","","","NO","SI","2","UNIDAD","SI","2","50","200","SI","NO","40","240","31.200000000000003","271.2","A6 ON TIME SOLUTIONS CAMILA CRUZ.pdf","","ON TIME SOLUTIONS","NO","NO","https://drive.google.com/file/d/1Wx49rd5OpxtK-tTj72mIuFJnPGoBG8Qj/view?usp=sharing","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","ILUMINACIÓN","ILUMINACION MAIN STAGE PARA PONENTES Y PARTICIPANTES","","","NO","SI","1","UNIDAD","SI","2","900","1800","SI","NO","360","2160","280.8","2440.8","A6 ON TIME SOLUTIONS CAMILA CRUZ.pdf","","ON TIME SOLUTIONS","NO","NO","https://drive.google.com/file/d/1Wx49rd5OpxtK-tTj72mIuFJnPGoBG8Qj/view?usp=sharing","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","AUDIO","4 SISTEMA DE AUDIO AUTOAMPLIFICADO CON 7 MICROFONOS, MIXER Y OPERADOR","","","NO","SI","1","PAQUETE","NO","1","500","500","SI","NO","100","600","78","678","A6 ON TIME SOLUTIONS CAMILA CRUZ.pdf","","ON TIME SOLUTIONS","NO","NO","https://drive.google.com/file/d/1Wx49rd5OpxtK-tTj72mIuFJnPGoBG8Qj/view?usp=sharing","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","AUDIO","MONITOR PARA PRENSA","","","NO","SI","2","UNIDAD","SI","2","80","320","SI","NO","64","384","49.92","433.92","A6 ON TIME SOLUTIONS CAMILA CRUZ.pdf","","ON TIME SOLUTIONS","NO","NO","https://drive.google.com/file/d/1Wx49rd5OpxtK-tTj72mIuFJnPGoBG8Qj/view?usp=sharing","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","MOBILIARIO","MESA ESEN (1.80 X 0.85 M) PARA AV SET UP","","","SI","NO","5","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","MANTELERIA","MANTEL PARA MESA PARA AV SET UP","","MANTELERIA SE MANDARA HACER PARA OBVIAR COSTOS ALTOS DE ALQUILER DE MANTELES.","NO","NO","5","UNIDAD","SI","2","3","30","NO","NO","0","30","3.9000000000000004","33.9","A4","","ALQUILERES EXPRESS","NO","NO","https://drive.google.com/file/d/1naOQex6vwh7_3M5kqpQdA6KqNa_5QJeJ/view","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","MOBILIARIO","SILLAS PARA TECNICOS EN AV SET UP","","","SI","NO","10","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCION AUDIOVISUAL","CAMARA PTZ: TRÍPODE, CABLES Y CONTROLADOR IP DEL EQUIPO.","","","NO","SI","6","UNIDAD","NO","1","800","4800","SI","SI","0","4800","624","5424","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCION AUDIOVISUAL","CAMARA FHD: TRÍPODE Y CABLES.","","","NO","SI","2","UNIDAD","NO","1","600","1200","SI","SI","0","1200","156","1356","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCION AUDIOVISUAL","RECORDING DEVICE AND 4 HDD: DISPOSITIVO DE GRABACIÓN Y HDD.","","","NO","SI","1","UNIDAD","NO","1","1600","1600","SI","SI","0","1600","208","1808","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCION AUDIOVISUAL","CCTV -HARDWARE/CABLES PARA DISTRIBUCION DE SEÑAL MAINSTAGE","","","NO","SI","1","UNIDAD","NO","1","1300","1300","SI","SI","0","1300","169","1469","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCION AUDIOVISUAL","SWITCHER, PC, CAPTURE CARDS, SWOOGO SOFTWARE","","","NO","SI","1","UNIDAD","NO","1","2200","2200","SI","SI","0","2200","286","2486","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCION AUDIOVISUAL","PRODUCCION DE GRAFICOS (INTRO, 25 GRAFICOS X SPEAKERS, SALIDAS)","","","NO","SI","1","PAQUETE","NO","1","1500","1500","SI","SI","0","1500","195","1695","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCION AUDIOVISUAL","PANTALLA LED P3 14m x 4m, ESTRUCTURAS Y PROCESADOR","","","NO","SI","56","PIEZAS","NO","1","150","8400","SI","SI","0","8400","1092","9492","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCION AUDIOVISUAL","PANTALLA LED P3 1m x 4m (PANTALLA LATERAL)","","","NO","SI","4","PIEZAS","NO","1","150","600","SI","SI","0","600","78","678","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","PRODUCCION AUDIOVISUAL","MONITOR DE REFERENCIA 75' (ESTILO TELEPROMPTERS)","","","NO","SI","2","UNIDAD","NO","1","125","250","SI","SI","0","250","32.5","282.5","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","COMUNICACION","AURICULARES","DISPOSITIVOS DE COMUNICACION PARA ORGANIZADORES, PRODUCCION Y AV TEAM","","NO","NO","8","UNIDAD","SI","2","62.5","1000","NO","NO","0","1000","130","1130","PENDING","","","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","STAFF","PERSONAL TECNICO DE PRODUCCIÓN AV: STREAMING, LED, FLOOR MANAGEMENT, ETC)","","","NO","SI","11","PERSONA","NO","1","0","0","SI","SI","0","0","0","0","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","STAFF","PERSONAL TECNICO DE PRODUCCIÓN AV: STREAMING, LED, FLOOR MANAGEMENT, ETC) PARA ENSAYO (4HR)","","","NO","SI","1","SERVICIO","SI","1","500","500","SI","SI","0","500","65","565","PROAUDIO V3.pdf","","PROAUDIO","NO","NO","https://drive.google.com/drive/search?q=C2%20LABB,%20CAMILA%20CRUZ,%20COCTEL%20SOLO%20ENTREGA,%20NOVIEMBRE%201.pdf","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","STAFF","PERSONAL PRODUCCIÓN AURORA360: SUPERVISORES DIA DEL EVENTO","","","NO","NO","2","PERSONA","SI","2","44.44","177.76","NO","NO","0","177.76","23.1088","200.8688","","","AURORA 360","SI","SI","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","STAFF","PERSONAL PRODUCCIÓN AURORA360: SUPERVISORES DIA(S) DE MONTAJE","","","NO","NO","2","PERSONA","SI","2","44.44","177.76","NO","NO","0","177.76","23.1088","200.8688","","","AURORA 360","SI","SI","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","STAFF","PERSONAL PRODUCCIÓN AURORA360: SUPERVISORES DIA(S) DE DESMONTAJE","","","NO","NO","2","PERSONA","SI","2","44.44","177.76","NO","NO","0","177.76","23.1088","200.8688","","","AURORA 360","SI","SI","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","VOLUNTARIOS","DOOR HANDLERS","","","SI","NO","2","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","VOLUNTARIOS","MIC RUNNERS","","","SI","NO","4","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","INTERNET","RED DE INTERNET PARA MAINSTAGE/BACKSTAGE (CLARO)","","","NO","NO","1","SERVICIO","NO","1","1500","1500","NO","NO","0","1500","195","1695","","","","SI","SI","","NO"
"MAIN EVENT","AUDITORIO/MAIN STAGE","INTERNET","RED DE INTERNET PARA FALLBACK DE MAINSTAGE/BACKSTAGE","","","NO","NO","1","SERVICIO","NO","1","0","0","NO","NO","0","0","0","0","PENDING","","","NO","NO","","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","MOBILIARIO","JUEGOS ALTOS MESA RENDONDA + 4 STOOLS NEGROS DELIBAQUETES SIN MANTEL","","","NO","SI","30","JUEGOS","SI","2","90","5400","SI","SI","0","5400","702","6102","A10","","DELIBANQUETES","SI","SI","https://drive.google.com/file/d/1fYAYJmKXo-D3iKCs8AGy4BCkw5-WNY_w/view","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","MOBILIARIO","JUEGOS BAJOS METAL INTERNOS (SOLO MESAS) ESEN CON MANTEL","","","SI","NO","15","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","MANTELERIA","MANTEL PARA MESA METAL ESEN (DIMENSIONES TBD)","","MANTELERIA SE MANDARA HACER PARA OBVIAR COSTOS ALTOS DE ALQUILER DE MANTELES.","NO","NO","15","UNIDAD","SI","2","3","90","NO","NO","0","90","11.700000000000001","101.7","","","","NO","NO","","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","MOBILIARIO","SILLAS NEGRAS PARA MESA METAL ESEN CON MANTEL","","","SI","NO","60","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","MOBILIARIO","CHARGING STATIONS","","","NO","SI","2","UNIDAD","SI","2","40","160","SI","SI","0","160","20.8","180.8","A2 - AURORA 360","","AURORA 360","SI","SI","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","AUDIO","SISTEMA DE AUDIO AUTOAMPLIFICADO CON MICROFONO, MIXER, Y OPERADOR","","","NO","NO","1","PAQUETE","SI","2","500","1000","NO","NO","0","1000","130","1130","A6 ON TIME SOLUTIONS CAMILA CRUZ.pdf","","ON TIME SOLUTIONS","NO","NO","https://drive.google.com/file/d/1Wx49rd5OpxtK-tTj72mIuFJnPGoBG8Qj/view","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","ILUMINACION","ILUMINACION PARADES CAFETERIA","","","NO","NO","12","UNIDAD","SI","2","25","600","NO","NO","0","600","78","678","A6 ON TIME SOLUTIONS CAMILA CRUZ.pdf","","ON TIME SOLUTIONS","NO","NO","https://drive.google.com/file/d/1Wx49rd5OpxtK-tTj72mIuFJnPGoBG8Qj/view","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","ELECTRICO","TOMAS 110 PARA BOOTH (2 TOMAS POR BOOTH)","","","NO","NO","5","UNIDAD","NO","1","55.55","277.75","NO","NO","0","277.75","36.1075","313.8575","","","","NO","NO","","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","PRODUCCIÓN Y MONTAJE","CUBO ACRILICO PARA DECORACIÓN DE 45X45 CM","","","NO","SI","3","UNIDAD","SI","2","25","150","SI","NO","30","180","23.400000000000002","203.4","A7","","AIRSTAR","SI","SI","https://drive.google.com/file/d/1TB1cjYWRBrdk_frKAkq-bBvzCTXXVk93/view?usp=drive_link","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","PRODUCCIÓN Y MONTAJE","CUBO ACRILICO PARA DECORACIÓN DE 20X20 CM","","","NO","SI","1","UNIDAD","SI","2","15","30","SI","NO","6","36","4.68","40.68","A7","","AIRSTAR","SI","SI","https://drive.google.com/file/d/1TB1cjYWRBrdk_frKAkq-bBvzCTXXVk93/view?usp=drive_link","NO"
"MAIN EVENT","LIVING SPACE (CAFETERIA)","PRODUCCIÓN Y MONTAJE","DIVISIÓN DE PERFILERIA CON PVC BLANCO PARA CAFETERIA 20 MTS","","","NO","SI","15","UNIDAD","NO","1","40","600","SI","SI","0","600","78","678","A2 - AURORA 360","","AURORA 360","SI","SI","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
